UPC,Market_Name,MskdName,WEEK_START_parsed,Parent_Company,PRODUCT_TYPE,EST_ACV_avg,UNITS_sum,DOLLARS_sum,RegPrice_avg,AvgPrice_avg,old_Discount_avg,D_avg,old_PR_Avg,DOLLARS_sum_sum,PR_avg,Discount_avg,prediction,DOLLARS_no_discount,Incr.Revenue,COGS_per_unit_zero_discount,COGS_discount,Gross_Profit_discount,COGS_zero_discount,Gross_Profit_zero_discount,Incr. Gross Profit
00-01-28400-01179,NEW_YORK,"Chain112,",2010-12-27T00:00:00.000Z,PEPSICO INC,PRETZEL,57.9786025,30,75,2.625,2.5,0.03625,0,0.5,3124617.94,0,0.03625,14.61420986,38.36230089,36.63769911,1.7,51,24,24.8,13.5,10.5
00-01-28400-01179,NEW_YORK,"Chain112,",2011-01-03T00:00:00.000Z,PEPSICO INC,PRETZEL,54.726355,45,112.5,2.625,2.5,0.03625,0.25,0.5,3124617.94,0,0.03625,34.24559471,89.89468612,22.60531388,1.7,76.5,36,58.2,31.7,4.3
00-01-28400-01179,NEW_YORK,"Chain112,",2011-01-10T00:00:00.000Z,PEPSICO INC,PRETZEL,59.65340714,34,85,2.5,2.5,0,0,0.285714286,3124617.94,0,0,31.59844502,78.99611255,6.00388745,1.7,57.8,27.2,53.7,25.3,1.9
00-01-28400-01179,NEW_YORK,"Chain112,",2011-01-17T00:00:00.000Z,PEPSICO INC,PRETZEL,59.14069,33,82.5,2.642857143,2.5,0.041428571,0,0.428571429,3124617.94,0,0.041428571,16.31333547,43.11381516,39.38618484,1.7,56.1,26.4,27.7,15.4,11.0
00-01-28400-01179,NEW_YORK,"Chain112,",2011-01-24T00:00:00.000Z,PEPSICO INC,PRETZEL,57.42997429,31,77.5,2.642857143,2.5,0.041428571,0,0.428571429,3124617.94,0,0.041428571,18.29927526,48.36237034,29.13762966,1.7,52.7,24.8,31.1,17.3,7.5
00-01-28400-01179,NEW_YORK,"Chain112,",2011-01-31T00:00:00.000Z,PEPSICO INC,PRETZEL,55.53147375,103,257.5,2.625,2.5,0.03625,0,0.5,3124617.94,0,0.03625,65.89453654,172.9731584,84.52684159,1.7,175.1,82.4,112.0,61.0,21.4
00-01-28400-01179,NEW_YORK,"Chain112,",2011-02-07T00:00:00.000Z,PEPSICO INC,PRETZEL,55.53147375,40,100,2.625,2.5,0.03625,0,0.5,3124617.94,0,0.03625,35.19853211,92.39614679,7.60385321,1.7,68,32,59.8,32.6,-0.6
00-01-28400-01179,NEW_YORK,"Chain112,",2011-02-14T00:00:00.000Z,PEPSICO INC,PRETZEL,55.465975,53,132.5,2.625,2.5,0.03625,0,0.5,3124617.94,0,0.03625,35.16227829,92.30098051,40.19901949,1.7,90.1,42.4,59.8,32.5,9.9
00-01-28400-01179,NEW_YORK,"Chain112,",2011-02-21T00:00:00.000Z,PEPSICO INC,PRETZEL,56.42153111,56,136.94,2.611111111,2.47,0.044444444,0,0.444444444,3124617.94,0,0.044444444,27.11429499,70.79843692,66.14156308,1.7,95.2,41.74,46.1,24.7,17.0
00-01-28400-01179,NEW_YORK,"Chain112,",2011-02-28T00:00:00.000Z,PEPSICO INC,PRETZEL,60.45842111,65,129.35,2.611111111,1.99,0.225555556,0,1,3124617.94,0,0.225555556,24.65714595,64.38254776,64.96745224,1.7,110.5,18.85,41.9,22.5,-3.6
00-01-28400-01179,NEW_YORK,"Chain112,",2011-03-07T00:00:00.000Z,PEPSICO INC,PRETZEL,59.48323,76,150.73,2.625,1.98625,0.23125,0,1,3124617.94,0,0.23125,16.34130556,42.8959271,107.8340729,1.7,129.2,21.53,27.8,15.1,6.4
00-01-28400-01179,NEW_YORK,"Chain112,",2011-01-31T00:00:00.000Z,PEPSICO INC,PRETZEL,55.53147375,103,257.5,2.625,2.5,0.03625,0,0.5,3618223.95,0,0.03625,65.89453654,172.9731584,84.52684159,1.7,175.1,82.4,112.0,61.0,21.4
00-01-28400-01179,NEW_YORK,"Chain112,",2011-02-07T00:00:00.000Z,PEPSICO INC,PRETZEL,55.53147375,40,100,2.625,2.5,0.03625,0,0.5,3618223.95,0,0.03625,35.19853211,92.39614679,7.60385321,1.7,68,32,59.8,32.6,-0.6
00-01-28400-01179,NEW_YORK,"Chain112,",2011-02-14T00:00:00.000Z,PEPSICO INC,PRETZEL,55.465975,53,132.5,2.625,2.5,0.03625,0,0.5,3618223.95,0,0.03625,35.16227829,92.30098051,40.19901949,1.7,90.1,42.4,59.8,32.5,9.9
00-01-28400-01179,NEW_YORK,"Chain112,",2011-02-21T00:00:00.000Z,PEPSICO INC,PRETZEL,56.42153111,56,136.94,2.611111111,2.47,0.044444444,0,0.444444444,3618223.95,0,0.044444444,27.11429499,70.79843692,66.14156308,1.7,95.2,41.74,46.1,24.7,17.0
00-01-28400-01179,NEW_YORK,"Chain112,",2011-02-28T00:00:00.000Z,PEPSICO INC,PRETZEL,60.45842111,65,129.35,2.611111111,1.99,0.225555556,0,1,3618223.95,0,0.225555556,24.65714595,64.38254776,64.96745224,1.7,110.5,18.85,41.9,22.5,-3.6
