UPC,Market_Name,MskdName,WEEK_START_parsed,Parent_Company,PRODUCT_TYPE,EST_ACV_avg,UNITS_sum,DOLLARS_sum,RegPrice_avg,AvgPrice_avg,Discount_avg,D_avg,PR_avg,prediction,Revenue_Baseline,Incr. Revenue,COGS_per_unit_zero_discount,COGS_discount,Gross_Profit_discount,COGS_zero_discount,Gross_Profit_zero_discount,Incr. Gross Profit
00-01-28400-00842,NEW_YORK,"Chain112,",2012-03-05T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,63.68283571,36,125.64,3.362857143,3.49,-0.04,0.142857143,0.428571429,42.36594,142.4706039,-16.83060394,2.3732,85.4352,40.2048,100.5428488,41.92775513,-1.722955135
00-01-28400-00842,NEW_YORK,"Chain112,",2012-03-19T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,64.08864,29,100.72,3.336666667,3.482222222,-0.046666667,0.222222222,0.555555556,35.628437,118.8802181,-18.16021812,2.3732,68.8228,31.8972,84.55340669,34.32681143,-2.429611435
00-01-28400-00842,NEW_YORK,"Chain112,",2012-03-26T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,60.80761091,62,186,3.328181818,3,0.096363636,0.363636364,1,58.22928,193.797631,-7.797630982,2.3732,147.1384,38.8616,138.1897273,55.60790369,-16.74630369
00-01-28400-00842,NEW_YORK,"Chain112,",2012-04-02T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,60.80761091,87,261,3.328181818,3,0.096363636,0.545454545,1,87.15634,290.0721461,-29.07214613,2.3732,206.4684,54.5316,206.8394261,83.23272004,-28.70112004
00-01-28400-00842,NEW_YORK,"Chain112,",2012-04-09T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,61.72452667,45,135,3.368888889,3,0.107777778,0.222222222,1,52.500256,176.8675291,-41.8675291,2.3732,106.794,28.206,124.5936075,52.27392156,-24.06792156
00-01-28400-00842,NEW_YORK,"Chain112,",2012-04-16T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,63.357073,102,237.66,3.361,2.33,0.303,0.4,1,73.00891,245.3829465,-7.72294651,2.3732,242.0664,-4.4064,173.2647452,72.1182013,-76.5246013
00-01-28400-00842,NEW_YORK,"Chain112,",2012-04-23T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,59.021575,87,261,3.312,3,0.092,0.6,1,88.22574,292.2036509,-31.20365088,2.3732,206.4684,54.5316,209.3773262,82.82632471,-28.29472471
00-01-28400-00842,NEW_YORK,"Chain112,",2012-04-30T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,59.021575,99,297,3.312,3,0.092,0.5,1,95.63408,316.740073,-19.74007296,2.3732,234.9468,62.0532,226.9587987,89.7812743,-27.7280743
00-01-28400-00842,NEW_YORK,"Chain112,",2012-05-07T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,57.86097455,94,282,3.919090909,3,0.147272727,0.454545455,1,118.8454,465.7659267,-183.7659267,2.3732,223.0808,58.9192,282.0439033,183.7220234,-124.8028234
00-01-28400-00842,NEW_YORK,"Chain112,",2012-05-21T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,57.86097455,94,252.29,3.919090909,2.671818182,0.24,0.545454545,1,116.46642,456.4424878,-204.1524878,2.3732,223.0808,29.2092,276.3981079,180.0443799,-150.8351799
00-01-28400-00842,NEW_YORK,"Chain112,",2012-05-28T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,56.821077,114,285,3.982,2.5,0.293,0.6,1,99.200836,395.017729,-110.017729,2.3732,270.5448,14.4552,235.423424,159.594305,-145.139105
00-01-28400-00842,NEW_YORK,"Chain112,",2012-06-04T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,57.86097455,89,267,3.919090909,3,0.147272727,0.363636364,1,97.94862,383.8695462,-116.8695462,2.3732,211.2148,55.7852,232.451665,151.4178812,-95.63268122
00-01-28400-00842,NEW_YORK,"Chain112,",2012-06-11T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,57.86097455,88,176,3.919090909,2,0.430909091,0.363636364,1,106.03249,415.5509676,-239.5509676,2.3732,208.8416,-32.8416,251.6363053,163.9146624,-196.7562624
00-01-28400-00842,NEW_YORK,"Chain112,",2012-06-18T00:00:00.000Z,PEPSICO INC,TORTILLA CHIP,59.59489083,82,246,3.883333333,3,0.146666667,0.333333333,1,85.83696,333.333528,-87.333528,2.3732,194.6024,51.3976,203.7082735,129.6252545,-78.22765453
